PLAYER,TEAM,POSITIONS,ZSCORE,PRICE
Stephen Curry,GS,"PG,SG",12.681704920021767,18
Kawhi Leonard,SA,"SG,SF",8.994709284161713,16
Chris Paul,LAC,PG,8.485618602625312,15
Anthony Davis,NO,"PF,C",8.357714143615143,15
Kevin Durant,GS,"SF,PF",7.84849347138887,18
Hassan Whiteside,Mia,C,7.253713339167622,13
Russell Westbrook,OKC,PG,6.500261848549318,18
James Harden,Hou,"PG,SG,SF",6.258738683151892,18
Nikola Jokic,Den,"PF,C",6.245534045281089,9
Klay Thompson,GS,"SG,SF",5.781494181785728,8
Karl-Anthony Towns,Min,C,5.7524220348634545,17
Cole Aldrich,Min,C,5.689641521236912,1
Paul George,Ind,"SF,PF",5.465510966692319,14
Paul Millsap,Atl,"PF,C",5.078790750198965,13
Kristaps Porzingis,NY,"PF,C",4.763345236690215,9
DeMarcus Cousins,NO,"PF,C",4.736967784727764,13
Al Horford,Bos,"PF,C",4.679914958171445,11
Boban Marjanovic,Det,C,4.542112513644865,1
Kyle Lowry,Tor,PG,4.394038178104163,10
Damian Lillard,Por,PG,4.261554127007431,13
LeBron James,Cle,"SF,PF",4.255881012713789,13
Kyrie Irving,Cle,"PG,SG",4.238953170759395,10
Kemba Walker,Cha,PG,4.134457540794447,10
Brandan Wright,Mem,"PF,C",4.092581777062199,1
Jrue Holiday,NO,PG,4.0156102748746365,3
Draymond Green,GS,"SF,PF",3.9741263327304046,11
DeAndre Jordan,LAC,C,3.815787623389443,5
Dirk Nowitzki,Dal,"PF,C",3.7981432449654484,4
Jimmy Butler,Chi,"SG,SF",3.566372675131871,12
John Wall,Was,PG,3.4340676880624716,9
Pau Gasol,SA,"PF,C",3.4260852511418034,5
Robert Covington,Phi,"SF,PF",3.418952349391036,3
Nikola Mirotic,Chi,"SF,PF",3.4146385523834835,4
Isaiah Thomas,Bos,PG,3.3932463624675977,7
Jae Crowder,Bos,"SF,PF",3.3851723579247963,5
LaMarcus Aldridge,SA,"PF,C",3.3413686903967665,11
Kevin Love,Cle,"PF,C",3.330339812081794,8
Jonas Valanciunas,Tor,C,3.2518696342073197,7
Khris Middleton,Mil,"SG,SF",3.2454030895837294,7
Gorgui Dieng,Min,"PF,C",3.0479368553575203,6
Kelly Olynyk,Bos,C,2.9855612991757123,2
Brook Lopez,Bkn,C,2.9375287821580294,8
Derrick Favors,Uta,"PF,C",2.843382485398589,8
Ricky Rubio,Min,PG,2.8375530716625663,6
Nikola Vucevic,Orl,"PF,C",2.7069159995786025,5
Mike Conley,Mem,PG,2.678286489176416,6
J.J. Redick,LAC,SG,2.6678063854459686,3
Jeremy Lamb,Cha,"SG,SF",2.657902391350232,1
C.J. McCollum,Por,"PG,SG",2.5166982730903484,8
Rondae Hollis-Jefferson,Bkn,"SG,SF,PF",2.507177964117042,3
Greg Monroe,Mil,"PF,C",2.4887205295956667,3
Cameron Payne,Chi,PG,2.4878960826712078,1
Mike Muscala,Atl,"PF,C",2.47551105679133,1
Eric Bledsoe,Pho,"PG,SG",2.4686511656504413,7
Marvin Williams,Cha,"SF,PF",2.4587987198336085,3
Jeff Teague,Ind,PG,2.4356851606304,4
Jeff Withey,Uta,C,2.428299634625384,1
Carmelo Anthony,NY,"SF,PF",2.425811331206214,7
Rudy Gobert,Uta,C,2.4233406738823144,6
Toney Douglas,Mem,"PG,SG",2.3923422473096463,1
Nerlens Noel,Dal,"PF,C",2.355490334298404,5
Blake Griffin,LAC,"PF,C",2.3535526257514165,7
Victor Oladipo,OKC,"PG,SG",2.3490473923685222,11
Alan Williams,Pho,PF,2.34597794227906,1
Chris Bosh,Mia,"PF,C",2.309244698487607,2
C.J. Miles,Ind,"SG,SF",2.2612931039673394,1
Ed Davis,Por,"PF,C",2.2353870516717453,2
Kyle O'Quinn,NY,"PF,C",2.1918054873314325,1
Marcus Thornton,Bkn,"SG,SF",2.1768274287880933,1
Myles Turner,Ind,"PF,C",2.160956861719784,7
Ryan Anderson,Hou,"PF,C",2.152348952630497,4
Danny Green,SA,"SG,SF",2.1376191117403662,3
Jarell Eddie,Was,SG,2.1373241993324266,1
John Henson,Mil,"PF,C",2.120030440633673,1
Jared Sullinger,Pho,"PF,C",2.0936238229701845,2
Serge Ibaka,Tor,"PF,C",2.0863720740540046,8
Patty Mills,SA,PG,2.079880400417538,1
Willie Cauley-Stein,Sac,"PF,C",1.9448220692699485,2
Trevor Ariza,Hou,"SG,SF",1.93259294733163,6
Danilo Gallinari,Den,"SF,PF",1.9148718541642664,4
Marc Gasol,Mem,C,1.9080129251238864,4
Giannis Antetokounmpo,Mil,"PG,SG,SF",1.9066227240088167,16
Marreese Speights,LAC,"PF,C",1.8957913646404,1
Enes Kanter,OKC,C,1.8891961547199356,4
Clint Capela,Hou,"PF,C",1.8780837476631855,3
Charlie Villanueva,Dal,PF,1.8693710205601115,1
Tobias Harris,Det,"SF,PF",1.8686035723830048,6
Joel Anthony,SA,"PF,C",1.8458942829162748,1
Otto Porter,Was,SF,1.8218419585314636,4
Christian Wood,Cha,"PF,C",1.794324205747228,1
Kevon Looney,GS,PF,1.7936134241871782,1
Andrew Bogut,Phi,C,1.7690375435886034,2
Dewayne Dedmon,SA,C,1.7609262928978067,1
Marcin Gortat,Was,C,1.7534110648171533,4
Al Jefferson,Ind,"PF,C",1.7526298693487536,2
